"","SPY.logrtn","XLE.logrtn","XLY.logrtn","XLK.logrtn","XLF.logrtn","XLU.logrtn","XLB.logrtn","XLP.logrtn","XLI.logrtn","XLV.logrtn"
"1",0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445,0.00157721238301445
"2",-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122,-0.00812424026643122
"3",-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064,-0.00614222100913064
"4",-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857,-0.0233154371560857
"5",-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865,-0.0168372817823865
"6",-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409,-0.0195064156055409
"7",-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506,-0.0208638339012506
"8",-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983,-0.018730638466983
"9",-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701,-0.00725375757236701
"10",-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008,-0.00101310688615008
"11",0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903,0.0104289908369903
"12",0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496,0.00388868412780496
"13",0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179,0.0198077118214179
"14",0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284,0.0222933796642284
"15",0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684,0.0197947359940684
"16",0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476,0.0214790836977476
"17",0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822,0.0163545708682822
"18",-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274,-0.00241456704655274
"19",0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261,0.00721459389188261
"20",0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052,0.0144832562131052
"21",0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705,0.00287740020985705
"22",0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639,0.00995837214458639
"23",0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079,0.0133737179723079
"24",0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433,0.0128709230491433
"25",0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513,0.0150283615105513
"26",0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264,0.0154380905087264
"27",0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698,0.0189636160029698
"28",0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111,0.0275694538277111
"29",0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314,0.0338332311757314
"30",0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923,0.0253510914797923
"31",0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288,0.0226695784817288
"32",0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391,0.0136003834722391
"33",0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161,0.0100062872670161
"34",0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489,0.0185709087390489
"35",0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066,0.0104457064746066
"36",0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448,0.0126854056830448
"37",0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639,0.00867153071706639
"38",0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466,0.00211311832507466
"39",0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813,0.0179085458645813
"40",0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304,0.00728731683127304
"41",0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166,0.00759505415716166
"42",0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143,0.0114739961592143
"43",0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122,0.0224437138503122
"44",0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321,0.027446206009321
"45",0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956,0.0242698410151956
"46",0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939,0.0207834853258939
"47",0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359,0.0128723753648359
"48",0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028,0.00249259582986028
"49",-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721,-0.00606740934868721
"50",-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949,-0.011832758208949
"51",-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315,-0.0142841292823315
"52",0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846,0.000612170361924846
"53",0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838,0.00413208174357838
"54",0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513,0.0118133896840513
"55",0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527,0.00588847675429527
"56",0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044,0.00612982614502044
"57",0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195,0.00122788174116195
