"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"var_95_daily",-0.0194164489171991,-0.0303854362809126,-0.0223293419756665,-0.0225998554371141,-0.0277028845193406,-0.0173403985689697,-0.0243609918404308,-0.0138388269194052,-0.0215766367098142,-0.0169788047724944
"var_95_weekly",-0.0405013915491096,-0.0628620337239423,-0.0487284727307058,-0.0454005427910498,-0.0577267816121596,-0.0368177477825791,-0.0534727502425741,-0.027963500321893,-0.0471307780387731,-0.0342540106432248
"var_95_monthly",-0.0765132467439358,-0.123668614905847,-0.0939906341247197,-0.0877766315008371,-0.11734659515004,-0.0678470486160405,-0.098638200869702,-0.05254164570892,-0.0918439189506435,-0.064715510085799
"var_99_daily",-0.0384905343821087,-0.0551962614387369,-0.0411260868686494,-0.042642148408965,-0.0599448262408471,-0.035082417992311,-0.0443481713586129,-0.0268701788569148,-0.041601365831343,-0.0310337476056919
"var_99_weekly",-0.0776862862584586,-0.125215736656368,-0.0899504432794735,-0.0852144990205206,-0.128727556741156,-0.0773628733890663,-0.0998283916385848,-0.0540096747206445,-0.0887404029973587,-0.069139881802732
"var_99_monthly",-0.177162711184842,-0.244534937315105,-0.194432255001033,-0.162363025165919,-0.304966104371404,-0.18154109027467,-0.208550649618423,-0.112341993294545,-0.240676508909368,-0.129336812419536
"median_daily",0.000651465827345987,0.000625056599312224,0.000984713460573605,0.00099130246253587,0.000585566427271367,0.000947620805833438,0.000963432599888847,0.000726561411748428,0.000893625531103837,0.000752490753235691
"median_weekly",0.00388215488154753,0.00327142535899664,0.00378325432937653,0.00494187771586851,0.00305172802107641,0.00315758711633054,0.00379220393927991,0.00315842722211901,0.00364909020723654,0.00350988578847033
"median_monthly",0.0148894388999272,0.0117886896671235,0.0149531792469894,0.0177207747121084,0.0118023014332922,0.0123712737164646,0.0126932764137199,0.0112811514212279,0.0127587956315423,0.0133873990880541
