"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"var_95_daily",-0.0194164489171991,-0.0303854362809126,-0.0223293419756665,-0.0225998554371141,-0.0277028845193406,-0.0173403985689697,-0.0243609918404308,-0.0138388269194052,-0.0215766367098142,-0.0169788047724944
"var_95_weekly",-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109,-0.0405012486420109
"var_95_monthly",-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828,-0.0765137562467828
"var_99_daily",-0.0384905343821087,-0.0551962614387369,-0.0411260868686494,-0.042642148408965,-0.0599448262408471,-0.035082417992311,-0.0443481713586129,-0.0268701788569148,-0.041601365831343,-0.0310337476056919
"var_99_weekly",-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593,-0.0776861474110593
"var_99_monthly",-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434,-0.177163365070434
"median_daily",0.000651465827345987,0.000625056599312224,0.000984713460573605,0.00099130246253587,0.000585566427271367,0.000947620805833438,0.000963432599888847,0.000726561411748428,0.000893625531103837,0.000752490753235691
"median_weekly",0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466,0.00388167667508466
"median_monthly",0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938,0.0148898913940938
