"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"100",83.990753,34.055786,26.814419,17.458151,9.24165,17.959082,22.706705,18.378222,22.590149,22.841782
"101",86.804306,35.500225,27.7778,18.053881,9.659971,18.303097,23.604109,18.753574,23.353014,23.307774
"102",85.714951,34.830532,27.355259,17.904942,9.447592,18.322206,23.189335,18.661512,23.041636,23.195286
"103",84.272888,33.176006,26.941174,17.731194,9.248089,17.895376,22.442759,18.619011,22.527872,22.938183
"104",86.467339,34.613865,27.61725,18.128347,9.537692,18.27125,23.136555,18.93771,23.111694,23.436321
"105",86.765121,35.080013,27.710201,18.310371,9.486208,18.462362,22.857533,18.96604,23.220675,23.57291
"106",83.716484,33.84568,26.636948,17.722921,9.106501,17.914488,21.952579,18.463202,22.130873,22.881952
"107",82.674118,33.55024,26.129892,17.466425,8.926303,18.022791,21.560431,18.321554,21.562611,22.849813
"108",83.559715,34.108322,26.349619,17.499521,9.112938,18.258505,22.05061,18.619011,21.788361,22.906054
"109",83.112991,33.753761,26.383417,17.408508,9.016401,18.156574,22.08078,18.583599,21.788361,22.801611
"110",85.542534,35.447697,27.279205,17.830481,9.312443,18.602524,22.872606,18.902298,22.629063,23.235458
"111",85.957901,35.664352,27.253857,17.987686,9.338183,18.615263,23.129013,18.746483,22.706907,23.428288
"112",85.824669,35.480522,27.329906,17.954596,9.299578,18.723566,22.902775,18.852722,22.683552,23.468458
"113",87.776085,36.517895,27.980625,18.42621,9.518387,19.086702,23.468372,19.043943,23.368576,23.870178
"114",87.744774,36.491623,27.786255,18.475845,9.524823,19.20775,23.438202,18.916466,23.306303,23.958555
"115",87.885841,36.452232,27.61725,18.54204,9.51195,19.347902,23.310005,19.086439,23.376368,23.990692
"116",87.981117,36.677799,27.528223,18.541212,9.564191,19.365284,23.443321,19.016533,23.46789,23.862295
"117",87.729126,36.598656,27.307793,18.408356,9.551291,19.230085,23.587234,18.966604,23.506996,23.821926
"118",86.280243,35.530174,26.697374,18.250597,9.402959,18.753674,23.00399,18.759748,22.935946,23.58774
"119",86.01252,35.259747,26.680424,18.217381,9.357813,18.586292,23.049437,18.880999,22.849903,23.490835
"120",84.587265,34.521065,26.044559,17.852043,9.190136,18.483284,22.466192,18.65275,22.450947,23.321259
"121",84.941589,34.619995,26.120861,17.835436,9.441654,18.566982,22.799477,18.460159,22.623047,23.426241
"122",84.673836,34.151718,25.925875,17.868649,9.351361,18.689299,22.541945,18.617083,22.466593,23.385864
"123",82.059547,33.023869,25.001768,17.204386,9.016008,18.309462,21.708738,18.317501,21.598276,22.957876
"124",81.279961,32.766636,24.696556,16.938683,8.906366,18.193575,21.489075,18.18911,21.457474,22.772144
"125",80.917732,32.647923,24.900021,16.872263,8.822527,18.10989,21.36788,18.22477,21.394897,22.578344
"126",80.476753,32.568779,24.620255,16.84734,8.71934,18.1292,21.246689,18.153437,21.128923,22.634867
"127",81.004341,32.885365,24.620255,17.013407,8.770936,18.341648,21.269407,18.260439,21.168034,22.747921
"128",83.555672,34.046173,25.315445,17.561428,9.157889,18.90819,22.117762,18.609953,21.903366,23.192051
"129",84.382492,34.527653,25.535879,17.669374,9.228828,19.056261,22.481342,18.888138,22.18498,23.385864
"130",85.012436,34.705738,25.781744,17.760708,9.357813,19.18502,23.019135,18.888138,22.404013,23.442387
"131",85.067558,34.613411,25.815649,17.843737,9.370712,19.249395,22.716158,18.952337,22.286671,23.402016
"132",86.351128,35.028915,26.459982,18.101141,9.602884,19.313776,23.329689,19.123529,22.677805,23.579662
"133",86.343239,34.989342,26.290428,18.209084,9.531944,19.320213,23.25395,19.130657,22.724737,23.579662
"134",86.366859,34.949764,26.375216,18.2672,9.512596,19.448973,23.231226,19.187725,22.716919,23.652346
"135",83.988762,34.118725,25.451097,17.744101,9.112743,19.114204,22.594965,18.916672,21.958118,23.159758
"136",84.484879,34.336376,25.696964,17.918472,9.106296,19.410351,22.617687,18.952337,22.083279,23.26473
"137",85.421944,35.12125,26.061527,18.03471,9.203036,19.584169,23.299391,19.180595,22.427477,23.20013
"138",84.311661,34.547443,25.595232,17.818829,9.054703,19.281586,23.223652,18.973738,22.372721,22.820591
"139",86.193619,35.312534,26.36673,18.300417,9.319122,19.590607,23.723576,19.187725,23.061111,22.965948
"140",86.941704,35.470818,26.748241,18.424965,9.39006,19.622797,24.246212,19.366051,23.522644,22.957876
"141",87.847275,35.780811,27.146709,18.541212,9.519044,19.764435,24.390135,19.465912,23.905954,23.288965
"142",87.839386,35.609325,26.799112,18.591034,9.544842,20.054146,24.193201,19.537241,23.741678,23.313179
"143",87.272423,35.530174,26.612591,18.441578,9.461002,19.957565,24.117453,19.430248,23.679104,22.998253
"144",86.847198,35.582935,26.476944,18.275507,9.493248,19.648548,24.094723,19.194857,23.600872,22.982103
"145",86.831459,35.510391,26.654989,18.200773,9.486796,19.551983,24.246212,19.244791,23.69475,23.070925
"146",88.792168,36.750359,27.223019,18.582726,9.725421,19.957565,24.897627,19.465912,24.164104,23.506987
"147",88.366974,36.737164,26.807594,18.483091,9.615785,19.861004,24.443155,19.294722,24.038944,23.700792
"148",88.957542,37.020763,27.256927,18.632547,9.654474,19.944689,24.670393,19.366051,24.250145,23.934971
"149",88.86306,37.139484,27.341707,18.549522,9.615785,19.912502,24.723413,19.280458,24.2658,23.94305
"150",88.500839,36.697578,27.155184,18.499699,9.531944,19.951128,24.6098,19.323248,24.132813,23.991501
"151",88.973297,36.849277,27.418005,18.624241,9.583538,20.021948,24.76129,19.423111,24.257973,24.056103
"152",88.492958,36.545906,27.180618,18.433271,9.499697,20.137831,24.496189,19.465912,24.093699,24.112629
"153",86.067635,35.457623,26.46846,17.993195,9.164342,19.732241,23.670549,19.144922,23.194096,23.490835
"154",85.540047,35.246574,26.36673,17.744101,9.099844,19.693619,23.822052,19.123529,23.029821,23.58774
"155",85.288078,35.187206,26.069996,17.66106,9.07405,19.764435,23.708429,19.116386,22.998533,23.49892
"156",85.248672,35.180611,26.061527,17.694281,9.048249,19.764435,23.81447,19.094992,22.951591,23.377789
"157",86.295975,35.767624,26.485422,17.88525,9.11919,19.957565,24.374989,19.280458,23.350555,23.700792
"158",86.453468,35.424648,26.731287,17.984894,9.157889,19.848125,24.465878,19.294722,23.436602,23.668497
"159",84.949448,34.850845,26.214123,17.769003,8.945065,19.564857,23.905359,19.066462,22.935946,23.232433
