"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"var_95_15min",-0.00294356597350376,-0.0038383172368646,-0.0029509043279324,-0.0027617710712264,-0.00376878035844832,-0.0024189201966296,-0.0035563806882571,-0.0017890032627654,-0.003027248058434,-0.00208751388717528
"var_95_30min",-0.00453247574765229,-0.00580275667300829,-0.0040813019023851,-0.00378011244325417,-0.0053610027642406,-0.003298939107679,-0.00498927980973753,-0.00231743402240546,-0.00415313944330145,-0.0029168267693511
"var_95_1hr",-0.00708844781046783,-0.0089048700875054,-0.00554651146211974,-0.00517765943506461,-0.00750119950306222,-0.00449033872728462,-0.0068723609526426,-0.00313757722333836,-0.00571955382203511,-0.00402589462201504
"var_99_15min",-0.00763674514514286,-0.0084424897953093,-0.0054947502172723,-0.00517472200411454,-0.0073513479635032,-0.0046752161850489,-0.00650344655175127,-0.0035188790256153,-0.005779282521518,-0.0042712262799184
"var_99_30min",-0.0117569078146765,-0.0127142153874662,-0.00753690727394223,-0.00721369960854734,-0.0101750318120644,-0.00629534810762903,-0.0089773921771927,-0.00475050908127009,-0.00780899028541594,-0.00604375138695763
"var_99_1hr",-0.0170578000383252,-0.01735312849113,-0.0102899490193248,-0.0103159632192434,-0.0141689130183642,-0.00887413899770695,-0.0127297462247798,-0.00659934053491819,-0.010933360067226,-0.00828547219361813
"median_15min",8.33423278071095e-05,0.0001805040244587,0.000295307282267187,0.000257687559169713,6.40220719490031e-06,0.000302179722632856,0.00030567465530665,0.000172855312103315,0.0003108696666802,0.000239030930596582
"median_30min",0.000164327668135202,0.000345178739076816,0.000559849560415941,0.000447648768398747,0.0003199155920396,0.0003369069807451,0.000588359909556436,0.000350780668934227,0.000526572643594267,0.000329363829086663
"median_1hr",0.000341662608966516,0.000562876287685228,0.00109507703875689,0.000910847238209984,0.000690208825702878,0.000737182132865626,0.00116092752767586,0.000688665918312948,0.00102549605894157,0.000673506713979053
