"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"Daily_GCVar_95",-0.0925630113561054,-0.137860676273096,-0.0620256613730652,-0.0755947241997492,-0.158987556990023,-0.0979818343029129,-0.0638723725809047,-0.0570673905111244,-0.0649082703007818,-0.0639281635305308
"Weekly_GCVar_95",-0.117461868381166,-0.207740611364001,-0.100833873387256,-0.055205186016701,-0.277063077598953,-0.15038110813804,-0.0801239902578746,-0.0742225207786197,-0.0858347701796466,-0.0796135040652354
"Monthly_GCVar_95",-0.214503817806185,-0.572284864655124,-0.199765896956113,-0.0818946421504152,-0.317656196950362,-0.198619053955962,-0.215807688521034,-0.0782012239537275,-0.274462072124381,-0.0883315425439885
"Daily_GCVar_99",-0.0620711365518587,-0.0929513436482028,-0.0417746556146692,-0.0506140077841357,-0.106888793547527,-0.0655554102906531,-0.0430530435527834,-0.0381777604976142,-0.0436454000533569,-0.0427796386563994
"Weekly_GCVar_99",-0.0784115553899197,-0.140355500458437,-0.0670891610583219,-0.0360670473238519,-0.186732986222119,-0.100285164032376,-0.0537203462463775,-0.0488215088506084,-0.0572080373777713,-0.0524630749575213
"Monthly_GCVar_99",-0.139993213467,-0.384861074751816,-0.129421020320451,-0.0479453602555785,-0.214476233236353,-0.12946468743574,-0.14203455716563,-0.046339762042658,-0.180678451688532,-0.0527393114779884
"Daily_GCVar_M",0.232146734059064,0.345833549774031,0.166305374308955,0.197196228977563,0.390828949969221,0.242616004929722,0.171057056407559,0.147222807879671,0.171506886720368,0.165472268826004
"Weekly_GCVar_M",0.325462439864435,0.551703180120071,0.29543411138578,0.194062427848103,0.699065625375876,0.39772143214504,0.248954710427515,0.21812497365314,0.259329035241579,0.238132902680304
"Monthly_GCVar_M",0.648370618132202,1.49810296946806,0.639385930784309,0.380634792340399,0.879998746645044,0.60526693565736,0.666811454279134,0.318902745328604,0.806091104634567,0.359279252208681
