"","SPY","XLE","XLY","XLK","XLF","XLU","XLB","XLP","XLI","XLV"
"Min15_GCVar_95",-0.0789891999384835,-20.1460180631506,-0.194177923961815,-0.119485619770791,-0.0530665039067729,-0.625454569404709,-369.278350897622,-0.307847338309849,-0.075042453013836,-0.0536439182750357
"Min30_GCVar_95",-0.0548850335601486,-11.9189068098106,-0.0895443117512568,-0.0769768668914924,-0.038269767002736,-0.300784135695144,-257.016513067842,-0.199471825469992,-0.057731831197162,-0.0410780701323469
"Hour1_GCVar_95",-0.0395094957861343,-7.34035583494382,-0.0498102810946055,-0.0570897612909166,-0.03532668876551,-0.198843976905575,-175.7396632977,-0.131124168466673,-0.0473587465157892,-0.0295275150861106
"Min15_GCVar_99",-0.0528615748082435,-13.4573403785621,-0.130020419636745,-0.0799950707739891,-0.035580435589346,-0.418110467625119,-246.61467964329,-0.205955267414465,-0.050249801070712,-0.0359788620955431
"Min30_GCVar_99",-0.036802098219171,-7.95819847563679,-0.0599964926819239,-0.0516072838481452,-0.0257455844904367,-0.201207512017834,-171.570356217326,-0.133461540745817,-0.0386935590650444,-0.0275928860603657
"Hour1_GCVar_99",-0.0265478762291557,-4.89777246659145,-0.0333914876411021,-0.0383442131894693,-0.0239028171428389,-0.133077262011969,-117.237621980949,-0.087742188236255,-0.0317833147464961,-0.0199230611308003
"Min15_GCVar_M",0.18346611007483,45.6272749602515,0.445022843319881,0.274336795892319,0.124388319792389,1.42090753888658,835.893853428057,0.701420778163627,0.173751601898675,0.124369541732448
"Min30_GCVar_M",0.13072821918586,26.9766530256691,0.208507901509151,0.17896889073915,0.0923248081436113,0.686157336663523,581.378694059771,0.456116886445979,0.135662642160538,0.0965870541315981
"Hour1_GCVar_M",0.0984819256341011,16.6021465937105,0.120306359264069,0.135556171338239,0.0879749390256506,0.455620920153975,397.197000847574,0.302297513555007,0.113959881139489,0.0713769626533006
